2, 2004, Note_on_c, 0, 63, 85
2, 2008, Note_on_c, 0, 56, 68
2, 2012, Note_on_c, 0, 60, 68
2, 2016, Note_on_c, 0, 68, 60
2, 2024, Note_on_c, 0, 48, 58
2, 2036, Note_on_c, 0, 60, 0
2, 2048, Note_on_c, 0, 68, 0
2, 2052, Note_on_c, 0, 56, 0
2, 2052, Note_on_c, 0, 48, 0
2, 2056, Note_on_c, 0, 63, 0
2, 2064, Note_on_c, 0, 75, 0
2, 2112, Note_on_c, 0, 68, 82
2, 2116, Note_on_c, 0, 77, 105
2, 2120, Note_on_c, 0, 65, 87
2, 2128, Note_on_c, 0, 61, 81
2, 2132, Note_on_c, 0, 49, 74
2, 2132, Note_on_c, 0, 56, 65
2, 2188, Control_c, 0, 64, 88
2, 2204, Control_c, 0, 64, 56
2, 2216, Control_c, 0, 64, 0
2, 2912, Control_c, 0, 64, 24
2, 2924, Note_on_c, 0, 77, 0
2, 2928, Control_c, 0, 64, 40
2, 2940, Note_on_c, 0, 68, 0
2, 2940, Control_c, 0, 64, 56
2, 2952, Note_on_c, 0, 65, 0
2, 2956, Note_on_c, 0, 49, 0
2, 2956, Control_c, 0, 64, 72
2, 2984, Note_on_c, 0, 61, 0
2, 2988, Note_on_c, 0, 56, 0
2, 2996, Control_c, 0, 64, 88
2, 3012, Control_c, 0, 64, 104
2, 3024, Control_c, 0, 64, 127
2, 3148, Note_on_c, 0, 48, 73
2, 3148, Note_on_c, 0, 68, 69
2, 3148, Note_on_c, 0, 75, 93
2, 3148, Note_on_c, 0, 60, 66
2, 3148, Note_on_c, 0, 63, 86
2, 3148, Note_on_c, 0, 56, 70
2, 3172, Note_on_c, 0, 68, 0
2, 3172, Note_on_c, 0, 48, 0
2, 3184, Note_on_c, 0, 60, 0
2, 3208, Note_on_c, 0, 63, 0
2, 3212, Note_on_c, 0, 56, 0
2, 3224, Note_on_c, 0, 75, 0
2, 3252, Control_c, 0, 64, 56
2, 3268, Control_c, 0, 64, 0
2, 3276, Note_on_c, 0, 77, 105
2, 3276, Note_on_c, 0, 68, 81
2, 3276, Note_on_c, 0, 65, 88
2, 3280, Note_on_c, 0, 61, 83
2, 3284, Note_on_c, 0, 49, 82
2, 3284, Note_on_c, 0, 56, 69
2, 3348, Note_on_c, 0, 56, 0
2, 3348, Note_on_c, 0, 49, 0
2, 3352, Note_on_c, 0, 61, 0
2, 3352, Control_c, 0, 64, 72
2, 3368, Note_on_c, 0, 65, 0
2, 3368, Control_c, 0, 64, 127
2, 3372, Note_on_c, 0, 77, 0
2, 3376, Note_on_c, 0, 68, 0
2, 3552, Note_on_c, 0, 56, 76
2, 3564, Note_on_c, 0, 60, 60
2, 3564, Note_on_c, 0, 63, 79
2, 3568, Note_on_c, 0, 75, 85
2, 3572, Note_on_c, 0, 68, 65
2, 3588, Note_on_c, 0, 60, 0
2, 3596, Note_on_c, 0, 68, 0
2, 3604, Note_on_c, 0, 56, 0
2, 3604, Note_on_c, 0, 63, 0
2, 3612, Note_on_c, 0, 75, 0
2, 3624, Control_c, 0, 64, 56
